Модель,Год,Пробег,Цена,Описание
"BMW 1 серия F40",2019,129000,16999,"робот, 1,5 л, дизель, хэтчбек 5 дв."
"BMW 7 серия G12 (Long) · Рестайлинг",2019,35000,83777,"автомат, 3,0 л, дизель, седан"
"BMW 5 серия E39",1999,400000,3399,"механика, 2,5 л, дизель, седан"
"BMW 1 серия E81, E82, E88, E87",2005,370000,7200,"автомат, 2,0 л, бензин, хэтчбек 5 дв."
"BMW X6 E71 · Рестайлинг",2012,149000,23450,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 7 серия F02 (Long)",2010,225000,17900,"автомат, 4,4 л, бензин, седан"
"BMW X3 G01 · Рестайлинг",2021,7440,75900,"автомат, 2,0 л, дизель, внедорожник 5 дв."
"BMW 8 серия G14, G15, G16",2021,87000,62350,"автомат, 3,0 л, дизель, седан"
"BMW 7 серия G12 (Long) · Рестайлинг",2021,57000,63500,"автомат, 4,4 л, бензин, седан"
"BMW 7 серия F02 (Long)",2008,248452,17000,"автомат, 3,0 л, бензин, седан"
"BMW X5 G05",2018,200000,52500,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия E60, E61",2006,291000,10900,"автомат, 2,5 л, бензин, седан"
"BMW 5 серия F10, F11",2011,272000,16500,"автомат, 2,5 л, бензин, седан"
"BMW 5 серия F10, F11 · Рестайлинг",2013,300000,17000,"автомат, 2,0 л, бензин, седан"
"BMW 3 серия E46 · Рестайлинг",2003,230000,6300,"механика, 2,0 л, дизель, универсал"
"BMW 5 серия G30, G31",2019,137000,31999,"автомат, 2,0 л, бензин, седан"
"BMW X6M E71",2011,189000,16950,"автомат, 4,4 л, бензин, внедорожник 5 дв."
"BMW 3 серия G20, G21",2020,160000,31900,"автомат, 2,0 л, бензин, седан"
"BMW X5 G05",2022,70000,55550,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW X5 G05",2020,45200,72000,"автомат, 4,4 л, бензин, внедорожник 5 дв."
"BMW X3 G01",2019,78600,35900,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW M5 F90 · Рестайлинг",2020,55000,95000,"автомат, 4,4 л, бензин, седан"
"BMW 5 серия G30, G31",2019,261000,32800,"автомат, 2,0 л, дизель, седан"
"BMW 4 серия  G22, G23, G26",2023,24500,60000,"автомат, 2,0 л, бензин, лифтбек"
"BMW 7 серия E65",2004,444000,10600,"автомат, 3,0 л, дизель, седан"
"BMW 1 серия F40",2020,108000,21800,"робот, 1,5 л, бензин, хэтчбек 5 дв."
"BMW X5 G05",2019,77000,67999,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW 1 серия E81, E82, E88, E87 · Рестайлинг",2007,363000,7999,"механика, 2,0 л, дизель, хэтчбек 5 дв."
"BMW 3 серия F34 (GT) · Рестайлинг",2018,223470,26500,"автомат, 2,0 л, дизель, лифтбек"
"BMW 2 серия Gran Tourer F46 · Рестайлинг",2019,210000,15999,"робот, 1,5 л, дизель, минивэн"
"BMW 2 серия Gran Tourer F46",2016,181000,15750,"автомат, 1,5 л, дизель, минивэн"
"BMW 5 серия G30, G31 · Рестайлинг",2020,148150,41150,"автомат, 2,0 л, дизель, универсал"
"BMW 2 серия Gran Tourer F46 · Рестайлинг, 7 мест",2019,212000,14300,"робот, 1,5 л, дизель, минивэн"
"BMW X5 F15",2016,106995,39500,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 2 серия F44",2020,161000,24000,"робот, 1,5 л, бензин, седан"
"BMW 6 серия G32",2018,121000,44000,"автомат, 3,0 л, дизель, лифтбек"
"BMW X3 F25 · Рестайлинг",2017,229684,25600,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 5 серия E39",1996,290000,4750,"автомат, 2,8 л, бензин, седан"
"BMW 5 серия E39",1998,300530,5750,"автомат, 2,8 л, бензин, седан"
"BMW X3 G01",2021,89500,41700,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 4 серия  G22, G23, G26",2021,59600,72000,"автомат, 3,0 л, бензин, лифтбек"
"BMW 7 серия G12 (Long)",2016,192000,37900,"автомат, 3,0 л, дизель, седан"
"BMW X1 F48",2018,114000,27500,"автомат, 2,0 л, дизель, внедорожник 5 дв."
"BMW 5 серия G30, G31",2019,134000,27500,"автомат, 2,0 л, бензин, седан"
"BMW 5 серия E60, E61",2006,214346,12750,"механика, 2,5 л, дизель, седан"
"BMW 5 серия E39 · Рестайлинг",2000,350000,5950,"автомат, 2,9 л, дизель, седан"
"BMW M4 G82, G83",2021,16500,86900,"автомат, 3,0 л, бензин, купе"
"BMW X5 E70",2007,320000,14500,"автомат, 3,0 л, бензин, внедорожник 5 дв."
"BMW X5 E70",2007,408070,16350,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW 3 серия G20, G21",2019,93300,39500,"автомат, 2,0 л, бензин, седан"
"BMW 5 серия F07 (GT)",2012,245000,16900,"автомат, 3,0 л, бензин, лифтбек"
"BMW X3 G01",2018,58673,39700,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW X5 E70 · Рестайлинг",2010,377550,21100,"автомат, 3,0 л, дизель, внедорожник 5 дв."
"BMW X5 F15",2013,243000,28080,"автомат, 3,0 л, дизель, внедорожник 5 дв."
