Серия,Поколение,Год,Рестайлинг,Пробег,Коробка,Объем,Цена,Кузов_внедорожник 5 дв.,Кузов_кабриолет,Кузов_купе,Кузов_лифтбек,Кузов_минивэн,Кузов_седан,Кузов_универсал,Кузов_хэтчбек 3 дв.,Кузов_хэтчбек 5 дв.,Топливо_бензин,Топливо_дизель
17140,22517,2019,0,129000,1,1.5,16999,0,0,0,0,0,0,0,0,1,0,1
20542,40126,2019,1,35000,2,3.0,83777,0,0,0,0,0,1,0,0,0,0,1
17574,7029,1999,0,400000,0,2.5,3399,0,0,0,0,0,1,0,0,0,0,1
17681,13564,2005,0,370000,2,2.0,7200,0,0,0,0,0,0,0,0,1,1,0
39427,21047,2012,1,149000,2,3.0,23450,1,0,0,0,0,0,0,0,0,1,0
20269,20660,2010,0,225000,2,4.4,17900,0,0,0,0,0,1,0,0,0,1,0
35530,41700,2021,1,7440,2,2.0,75900,1,0,0,0,0,0,0,0,0,0,1
50912,49771,2021,0,87000,2,3.0,62350,0,0,0,0,0,1,0,0,0,0,1
21066,39351,2021,1,57000,2,4.4,63500,0,0,0,0,0,1,0,0,0,1,0
20492,20660,2008,0,248452,2,3.0,17000,0,0,0,0,0,1,0,0,0,1,0
37697,67133,2018,0,200000,2,3.0,52500,1,0,0,0,0,0,0,0,0,0,1
17322,12758,2006,0,291000,2,2.5,10900,0,0,0,0,0,1,0,0,0,1,0
16968,20410,2011,0,272000,2,2.5,16500,0,0,0,0,0,1,0,0,0,1,0
17225,20672,2013,1,300000,2,2.0,17000,0,0,0,0,0,1,0,0,0,1,0
16552,7859,2003,1,230000,0,2.0,6300,0,0,0,0,0,0,1,0,0,0,1
17225,38759,2019,0,137000,2,2.0,31999,0,0,0,0,0,1,0,0,0,1,0
16552,37773,2020,0,160000,2,2.0,31900,0,0,0,0,0,1,0,0,0,1,0
38076,68405,2022,0,70000,2,3.0,55550,1,0,0,0,0,0,0,0,0,1,0
38076,67133,2020,0,45200,2,4.4,72000,1,0,0,0,0,0,0,0,0,1,0
36510,41218,2019,0,78600,2,2.0,35900,1,0,0,0,0,0,0,0,0,1,0
17403,39564,2019,0,261000,2,2.0,32800,0,0,0,0,0,1,0,0,0,0,1
38814,50409,2023,0,24500,2,2.0,60000,0,0,0,1,0,0,0,0,0,1,0
20269,14638,2004,0,444000,2,3.0,10600,0,0,0,0,0,1,0,0,0,0,1
17140,22517,2020,0,108000,1,1.5,21800,0,0,0,0,0,0,0,0,1,1,0
37344,69427,2019,0,77000,2,3.0,67999,1,0,0,0,0,0,0,0,0,1,0
17681,14084,2007,1,363000,0,2.0,7999,0,0,0,0,0,0,0,0,1,0,1
16748,25512,2018,1,223470,2,2.0,26500,0,0,0,1,0,0,0,0,0,0,1
21201,18351,2019,1,210000,1,1.5,15999,0,0,0,0,1,0,0,0,0,0,1
22010,18615,2016,0,181000,2,1.5,15750,0,0,0,0,1,0,0,0,0,0,1
17225,39008,2020,1,148150,2,2.0,41150,0,0,0,0,0,0,1,0,0,0,1
21440,18482,2019,1,212000,1,1.5,14300,0,0,0,0,1,0,0,0,0,0,1
38076,33004,2016,0,106995,2,3.0,39500,1,0,0,0,0,0,0,0,0,0,1
21440,26455,2020,0,161000,1,1.5,24000,0,0,0,0,0,1,0,0,0,1,0
