Серия,Поколение,Год,Рестайлинг,Пробег,Коробка,Объем,Цена,Кузов_внедорожник 5 дв.,Кузов_кабриолет,Кузов_купе,Кузов_лифтбек,Кузов_минивэн,Кузов_седан,Кузов_универсал,Кузов_хэтчбек 3 дв.,Кузов_хэтчбек 5 дв.,Топливо_бензин,Топливо_дизель
16909,22793,2019,0,129000,1,1.5,16999,0,0,0,0,0,0,0,0,1,0,1
20785,39506,2019,1,35000,2,3.0,83777,0,0,0,0,0,1,0,0,0,0,1
17329,6977,1999,0,400000,0,2.5,3399,0,0,0,0,0,1,0,0,0,0,1
18073,14777,2005,0,370000,2,2.0,7200,0,0,0,0,0,0,0,0,1,1,0
38953,20419,2012,1,149000,2,3.0,23450,1,0,0,0,0,0,0,0,0,1,0
20586,21048,2010,0,225000,2,4.4,17900,0,0,0,0,0,1,0,0,0,1,0
35386,40963,2021,1,7440,2,2.0,75900,1,0,0,0,0,0,0,0,0,0,1
53043,51324,2021,0,87000,2,3.0,62350,0,0,0,0,0,1,0,0,0,0,1
20586,39949,2021,1,57000,2,4.4,63500,0,0,0,0,0,1,0,0,0,1,0
20586,20589,2008,0,248452,2,3.0,17000,0,0,0,0,0,1,0,0,0,1,0
38075,67649,2018,0,200000,2,3.0,52500,1,0,0,0,0,0,0,0,0,0,1
17329,12777,2006,0,291000,2,2.5,10900,0,0,0,0,0,1,0,0,0,1,0
17325,20231,2011,0,272000,2,2.5,16500,0,0,0,0,0,1,0,0,0,1,0
17329,20439,2013,1,300000,2,2.0,17000,0,0,0,0,0,1,0,0,0,1,0
16285,8052,2003,1,230000,0,2.0,6300,0,0,0,0,0,0,1,0,0,0,1
17186,39012,2019,0,137000,2,2.0,31999,0,0,0,0,0,1,0,0,0,1,0
16826,37620,2020,0,160000,2,2.0,31900,0,0,0,0,0,1,0,0,0,1,0
37509,67301,2022,0,70000,2,3.0,55550,1,0,0,0,0,0,0,0,0,1,0
37685,67301,2020,0,45200,2,4.4,72000,1,0,0,0,0,0,0,0,0,1,0
35029,41817,2019,0,78600,2,2.0,35900,1,0,0,0,0,0,0,0,0,1,0
17186,38454,2019,0,261000,2,2.0,32800,0,0,0,0,0,1,0,0,0,0,1
40186,50567,2023,0,24500,2,2.0,60000,0,0,0,1,0,0,0,0,0,1,0
20586,13878,2004,0,444000,2,3.0,10600,0,0,0,0,0,1,0,0,0,0,1
16309,22664,2020,0,108000,1,1.5,21800,0,0,0,0,0,0,0,0,1,1,0
38075,67649,2019,0,77000,2,3.0,67999,1,0,0,0,0,0,0,0,0,1,0
18073,14777,2007,1,363000,0,2.0,7999,0,0,0,0,0,0,0,0,1,0,1
16567,24498,2018,1,223470,2,2.0,26500,0,0,0,1,0,0,0,0,0,0,1
21267,18428,2019,1,210000,1,1.5,15999,0,0,0,0,1,0,0,0,0,0,1
21583,18525,2016,0,181000,2,1.5,15750,0,0,0,0,1,0,0,0,0,0,1
17186,39400,2020,1,148150,2,2.0,41150,0,0,0,0,0,0,1,0,0,0,1
21462,18428,2019,1,212000,1,1.5,14300,0,0,0,0,1,0,0,0,0,0,1
37232,33139,2016,0,106995,2,3.0,39500,1,0,0,0,0,0,0,0,0,0,1
21583,26858,2020,0,161000,1,1.5,24000,0,0,0,0,0,1,0,0,0,1,0
39311,37709,2018,0,121000,2,3.0,44000,0,0,0,1,0,0,0,0,0,0,1
36484,20580,2017,1,229684,2,2.0,25600,1,0,0,0,0,0,0,0,0,1,0
17329,6926,1996,0,290000,2,2.8,4750,0,0,0,0,0,1,0,0,0,1,0
17186,7010,1998,0,300530,2,2.8,5750,0,0,0,0,0,1,0,0,0,1,0
35029,42065,2021,0,89500,2,2.0,41700,1,0,0,0,0,0,0,0,0,1,0
39425,48648,2021,0,59600,2,3.0,72000,0,0,0,1,0,0,0,0,0,1,0
20785,40113,2016,0,192000,2,3.0,37900,0,0,0,0,0,1,0,0,0,0,1
22929,23018,2018,0,114000,2,2.0,27500,1,0,0,0,0,0,0,0,0,0,1
17329,39400,2019,0,134000,2,2.0,27500,0,0,0,0,0,1,0,0,0,1,0
17329,12695,2006,0,214346,0,2.5,12750,0,0,0,0,0,1,0,0,0,0,1
17330,6980,2000,1,350000,2,2.9,5950,0,0,0,0,0,1,0,0,0,0,1
37232,19084,2007,0,320000,2,3.0,14500,1,0,0,0,0,0,0,0,0,1,0
37685,19346,2007,0,408070,2,3.0,16350,1,0,0,0,0,0,0,0,0,0,1
16826,36987,2019,0,93300,2,2.0,39500,0,0,0,0,0,1,0,0,0,1,0
17186,20257,2012,0,245000,2,3.0,16900,0,0,0,1,0,0,0,0,0,1,0
35867,40963,2018,0,58673,2,2.0,39700,1,0,0,0,0,0,0,0,0,1,0
38075,19084,2010,1,377550,2,3.0,21100,1,0,0,0,0,0,0,0,0,0,1
37232,33139,2013,0,243000,2,3.0,28080,1,0,0,0,0,0,0,0,0,0,1
25471,25257,2018,0,240000,2,2.0,22900,1,0,0,0,0,0,0,0,0,0,1
23203,23535,2019,1,194000,1,1.5,20300,1,0,0,0,0,0,0,0,0,0,1
17330,6980,1999,0,300420,0,2.9,6850,0,0,0,0,0,1,0,0,0,0,1
39171,26052,2015,0,102950,2,2.0,20990,0,0,1,0,0,0,0,0,0,1,0
16346,13014,2007,0,276000,2,2.5,7900,0,0,0,0,0,1,0,0,0,1,0
16567,36987,2019,0,48000,2,3.0,48000,0,0,0,0,0,1,0,0,0,1,0
40186,26052,2017,1,180500,2,3.0,34500,0,0,1,0,0,0,0,0,0,1,0
17330,12786,2003,0,387000,2,3.0,14650,0,0,0,0,0,1,0,0,0,0,1
16819,13026,2007,0,318000,2,2.0,10650,0,0,0,0,0,1,0,0,0,1,0
35029,41451,2020,0,155000,2,2.0,36800,1,0,0,0,0,0,0,0,0,0,1
23203,23397,2020,1,139000,1,1.5,27950,1,0,0,0,0,0,0,0,0,0,1
38494,20419,2008,0,32000,2,3.0,22500,1,0,0,0,0,0,0,0,0,0,1
22929,32915,2023,0,31320,1,2.0,45600,1,0,0,0,0,0,0,0,0,1,0
17325,20642,2011,0,315000,2,3.0,20500,0,0,0,0,0,1,0,0,0,0,1
38513,68324,2020,0,106000,2,3.0,79999,1,0,0,0,0,0,0,0,0,0,1
17330,39012,2017,0,175000,2,3.0,34999,0,0,0,0,0,0,1,0,0,0,1
21265,26486,2021,0,150000,1,1.5,21950,0,0,0,0,0,1,0,0,0,0,1
21265,18743,2021,1,152900,0,1.5,17150,0,0,0,0,1,0,0,0,0,0,1
16285,24498,2017,1,237000,2,2.0,18000,0,0,0,1,0,0,0,0,0,0,1
35386,41451,2018,0,219659,2,3.0,41000,1,0,0,0,0,0,0,0,0,0,1
16826,5728,1994,0,316000,0,1.8,2950,0,0,0,0,0,1,0,0,0,1,0
37509,33301,2016,0,260000,2,3.0,33900,1,0,0,0,0,0,0,0,0,0,1
35386,41817,2022,1,49000,2,2.0,42800,1,0,0,0,0,0,0,0,0,1,0
35386,17264,2005,0,228000,2,3.0,8999,1,0,0,0,0,0,0,0,0,1,0
36484,40963,2021,1,72000,2,2.0,59900,1,0,0,0,0,0,0,0,0,1,0
17325,38454,2019,0,139000,2,2.0,34900,0,0,0,0,0,0,1,0,0,0,1
17329,6980,2001,1,485000,0,2.5,7800,0,0,0,0,0,1,0,0,0,0,1
17325,39012,2021,1,51000,2,2.0,52000,0,0,0,0,0,1,0,0,0,1,0
17329,38454,2017,0,134100,2,2.0,32900,0,0,0,0,0,1,0,0,0,0,1
23948,23400,2021,1,120000,1,1.5,21300,1,0,0,0,0,0,0,0,0,1,0
21047,26470,2020,0,110000,1,1.5,28500,0,0,0,0,0,1,0,0,0,0,1
17325,20731,2009,0,386000,2,3.0,16500,0,0,0,1,0,0,0,0,0,0,1
38953,62673,2023,1,76000,2,3.0,120000,1,0,0,0,0,0,0,0,0,0,1
38075,69142,2023,1,70000,2,3.0,79900,1,0,0,0,0,0,0,0,0,1,0
37509,67301,2020,0,142004,2,2.0,48500,1,0,0,0,0,0,0,0,0,0,1
17330,38454,2021,1,94000,2,3.0,65990,0,0,0,0,0,1,0,0,0,1,0
17325,12906,2007,1,410000,2,3.0,15500,0,0,0,0,0,1,0,0,0,0,1
37685,13954,2000,0,521950,2,3.0,9250,1,0,0,0,0,0,0,0,0,1,0
16567,5642,1995,0,320000,0,2.0,3850,0,0,0,0,0,1,0,0,0,1,0
17325,7010,1999,0,408000,2,2.9,5250,0,0,0,0,0,0,1,0,0,0,1
37509,19084,2011,1,260000,2,3.0,23000,1,0,0,0,0,0,0,0,0,0,1
22929,23018,2020,1,160000,2,2.0,35950,1,0,0,0,0,0,0,0,0,0,1
17330,38623,2020,1,97000,2,3.0,59900,0,0,0,0,0,0,1,0,0,0,1
17186,20257,2009,0,230300,2,3.0,17300,0,0,0,1,0,0,0,0,0,1,0
48760,45358,2020,0,155000,2,3.0,49600,1,0,0,0,0,0,0,0,0,0,1
16826,37560,2019,0,109000,2,2.0,34500,0,0,0,0,0,1,0,0,0,0,1
39340,50495,2023,0,28000,2,2.0,39900,0,0,0,1,0,0,0,0,0,1,0
39000,50495,2021,0,19000,2,2.0,46100,0,1,0,0,0,0,0,0,0,1,0
35867,41665,2020,0,74000,2,3.0,63500,1,0,0,0,0,0,0,0,0,0,1
23796,23555,2022,1,114000,1,1.5,25950,1,0,0,0,0,0,0,0,0,0,1
37685,19346,2008,0,230589,2,4.8,10900,1,0,0,0,0,0,0,0,0,1,0
16819,37620,2019,0,125000,2,2.0,29999,0,0,0,0,0,1,0,0,0,1,0
20785,14627,2003,0,360000,2,4.4,7000,0,0,0,0,0,1,0,0,0,1,0
38075,13717,2002,0,390000,2,3.0,8950,1,0,0,0,0,0,0,0,0,1,0
16309,20079,2012,0,120000,2,1.6,10000,0,0,0,0,0,0,0,0,1,1,0
16567,36987,2019,0,150000,2,3.0,39999,0,0,0,0,0,0,1,0,0,0,1
16567,7715,2000,0,445000,0,2.0,6099,0,0,0,0,0,0,1,0,0,0,1
17329,12695,2006,0,184000,2,3.0,11000,0,0,0,0,0,1,0,0,0,1,0
17330,12777,2008,1,325000,2,2.0,11150,0,0,0,0,0,0,1,0,0,0,1
17325,20439,2012,0,350000,2,3.0,17600,0,0,0,0,0,1,0,0,0,0,1
17330,39524,2019,0,110391,2,2.0,31900,0,0,0,0,0,1,0,0,0,1,0
37659,19084,2013,1,316000,2,3.0,23500,1,0,0,0,0,0,0,0,0,0,1
39000,26083,2015,0,162000,2,2.0,21000,0,0,0,1,0,0,0,0,0,1,0
16567,37560,2020,0,260000,2,2.0,28500,0,0,0,0,0,0,1,0,0,0,1
16819,8052,1998,0,375000,0,1.9,4100,0,0,0,0,0,1,0,0,0,1,0
17325,38454,2023,1,29300,2,2.0,60000,0,0,0,0,0,1,0,0,0,1,0
37659,69142,2023,0,13000,2,3.0,56000,1,0,0,0,0,0,0,0,0,1,0
17325,39400,2018,0,180000,2,2.0,25500,0,0,0,0,0,1,0,0,0,1,0
35386,18858,2005,0,323000,2,3.0,9000,1,0,0,0,0,0,0,0,0,1,0
35386,18858,2006,1,285000,0,2.0,11700,1,0,0,0,0,0,0,0,0,0,1
37232,18774,2010,1,213754,2,3.0,17499,1,0,0,0,0,0,0,0,0,1,0
17329,39400,2018,0,220000,2,3.0,33100,0,0,0,0,0,1,0,0,0,0,1
37659,19093,2010,1,240000,2,3.0,17999,1,0,0,0,0,0,0,0,0,1,0
17325,7010,2000,1,358000,0,2.2,6500,0,0,0,0,0,1,0,0,0,1,0
20059,41320,2016,0,175000,2,3.0,32000,0,0,0,0,0,1,0,0,0,1,0
17186,39400,2020,0,125000,2,2.0,36000,0,0,0,0,0,0,1,0,0,0,1
16346,19986,2014,0,162000,2,2.0,16000,0,0,0,0,0,1,0,0,0,1,0
35029,41665,2022,1,83000,2,2.0,42500,1,0,0,0,0,0,0,0,0,1,0
21267,18511,2018,0,135000,0,1.5,14700,0,0,0,0,1,0,0,0,0,1,0
77668,75328,2021,0,45000,2,3.0,72999,1,0,0,0,0,0,0,0,0,1,0
20785,21048,2014,1,150000,2,4.4,16999,0,0,0,0,0,1,0,0,0,1,0
20696,16054,2007,1,274000,2,4.4,12999,0,0,0,0,0,1,0,0,0,0,1
17329,20288,2016,1,177000,2,2.0,19999,0,0,0,0,0,1,0,0,0,1,0
21583,26470,2020,0,207500,1,1.5,21500,0,0,0,0,0,1,0,0,0,0,1
35029,18858,2004,0,270000,2,3.0,8500,1,0,0,0,0,0,0,0,0,1,0
21434,21048,2009,0,250000,2,4.4,14900,0,0,0,0,0,1,0,0,0,1,0
37882,37709,2021,1,95000,2,2.0,57000,0,0,0,1,0,0,0,0,0,0,1
17330,12695,2003,0,193500,2,3.0,10900,0,0,0,0,0,1,0,0,0,1,0
20785,21048,2009,0,176250,2,3.0,15500,0,0,0,0,0,1,0,0,0,1,0
70383,75328,2019,0,105000,2,3.0,76000,1,0,0,0,0,0,0,0,0,1,0
17325,38454,2020,1,78200,2,3.0,56500,0,0,0,0,0,1,0,0,0,1,0
37685,13717,2003,1,511000,2,3.0,12500,1,0,0,0,0,0,0,0,0,0,1
46315,45358,2021,1,65000,2,3.0,66900,1,0,0,0,0,0,0,0,0,1,0
17329,38454,2021,1,128000,2,2.0,33950,0,0,0,0,0,0,1,0,0,0,1
17330,6977,1998,0,390000,2,2.5,6200,0,0,0,0,0,1,0,0,0,0,1
17325,20040,2011,0,267000,2,3.0,15900,0,0,0,1,0,0,0,0,0,1,0
16567,13014,2006,0,330000,2,2.0,10400,0,0,0,0,0,1,0,0,0,1,0
21583,19435,2021,1,160000,2,1.5,15900,0,0,0,0,1,0,0,0,0,0,1
38075,19428,2010,1,445000,2,3.0,19500,1,0,0,0,0,0,0,0,0,0,1
20059,40001,2016,0,122000,2,3.0,35850,0,0,0,0,0,1,0,0,0,1,0
23796,23397,2019,0,187000,2,2.0,26350,1,0,0,0,0,0,0,0,0,0,1
36484,41665,2021,0,56000,2,3.0,54000,1,0,0,0,0,0,0,0,0,1,0
37659,69142,2019,0,69500,2,3.0,53900,1,0,0,0,0,0,0,0,0,1,0
17186,6977,2001,1,410000,0,2.2,5600,0,0,0,0,0,1,0,0,0,1,0
21265,26486,2020,0,75000,2,2.0,28499,0,0,0,0,0,1,0,0,0,1,0
16826,13047,2009,1,312000,0,2.0,10500,0,0,0,0,0,1,0,0,0,1,0
17330,20643,2015,1,248000,2,2.0,21800,0,0,0,0,0,1,0,0,0,0,1
21462,19435,2015,0,89000,0,1.5,16299,0,0,0,0,1,0,0,0,0,0,1
17329,39524,2017,0,159000,2,2.0,26900,0,0,0,0,0,0,1,0,0,0,1
17164,14322,2006,0,230000,0,1.6,6750,0,0,0,0,0,0,0,0,1,1,0
38075,33139,2015,0,249000,2,2.0,33900,1,0,0,0,0,0,0,0,0,0,1
16567,37734,2020,0,89000,2,2.0,36999,0,0,0,0,0,1,0,0,0,1,0
79075,75772,2020,0,133000,2,3.0,69800,1,0,0,0,0,0,0,0,0,1,0
16285,36987,2019,0,182000,2,2.0,26450,0,0,0,0,0,0,1,0,0,0,1
48787,48859,2019,0,79000,2,2.0,39900,1,0,0,0,0,0,0,0,0,1,0
38513,70127,2020,0,57200,2,3.0,81490,1,0,0,0,0,0,0,0,0,1,0
38953,68324,2020,0,85000,2,3.0,81490,1,0,0,0,0,0,0,0,0,0,1
48543,49818,2019,0,26000,2,4.4,72500,0,1,0,0,0,0,0,0,0,1,0
20696,40001,2021,1,85000,2,3.0,69800,0,0,0,0,0,1,0,0,0,1,0
